Pokémon,Type 1,Type 2,Habitat,Couleur(s),Stade d'évolution,Hauteur,Poids
Bulbizarre,Plante,Poison,Champs,Vert,1,70cm,6.9kg
Herbizarre,Plante,Poison,Champs,Vert,2,1m,13kg
Florizarre,Plante,Poison,Champs,Vert,3,2m,100kg
Salameche,Feu,Aucun,Montagne,Orange,1,60cm,8.5kg
Reptincel,Feu,Aucun,Montagne,Rouge,2,1m10,19kg
Dracaufeu,Feu,Vol,Montagne,Orange,3,1m70,90.5kg
Carapuce,Eau,Aucun,Marécages,Bleu,1,50cm,9kg
Carabaffe,Eau,Aucun,Marécages,Bleu,2,1m,22.5kg
Tortank,Eau,Aucun,Marécages,Bleu,3,1m60,85.5kg
Chenipan,Insecte,Aucun,Forêt,Vert,1,30cm,2.9kg
Chrysacier,Insecte,Aucun,Forêt,Vert,2,70cm,9.9kg
Papilusion,Insecte,Vol,Forêt,"Violet,Blanc",3,1m10,32kg
Aspicot,Insecte,Poison,Forêt,Marron,1,30cm,3.2kg
Coconfort,Insecte,Poison,Forêt,Jaune,2,60cm,10kg
Dardargnan,Insecte,Poison,Forêt,"Noir,Jaune",3,1m,29.5kg
Roucool,Normal,Vol,Forêt,"Marron,Jaune",1,30cm,1.8kg
Roucoups,Normal,Vol,Forêt,"Marron,Jaune",2,1m10,30kg
Roucarnage,Normal,Vol,Forêt,"Marron,Jaune",3,1m50,39.5kg
Rattata,Normal,Aucun,Champs,Violet,1,30cm,3.5kg
Rattatac,Normal,Aucun,Champs,Marron,2,70cm,18.5kg
Piafabec,Normal,Vol,Milieux hostiles,Marron,1,30cm,2kg
Rapasdepic,Normal,Vol,Milieux hostiles,Marron,2,1m20,38kg
Abo,Poison,Aucun,Champs,Violet,1,2m,6.9kg
Arbok,Poison,Aucun,Champs,Violet,2,3m50,65kg
Pikachu,Électrik,Aucun,Forêt,Jaune,1,40cm,6kg
Raichu,Électrik,Aucun,Forêt,Orange,2,80cm,30kg
Sabelette,Sol,Aucun,Milieux hostiles,Jaune,1,60cm,12kg
Sablaireau,Sol,Aucun,Milieux hostiles,"Marron,Jaune",2,1m,29.5kg
Nidoran♀,Poison,Aucun,Champs,Bleu,1,40cm,7kg
Nidorina,Poison,Aucun,Champs,Bleu,2,80cm,20kg
Nidoqueen,Poison,Sol,Champs,Bleu,3,1m30,60kg
Nidoran♂,Poison,Aucun,Champs,Violet,1,50cm,9kg
Nidorino,Poison,Aucun,Champs,Violet,2,90cm,19.5kg
Nidoking,Poison,Sol,Champs,Violet,3,1m40,62kg
Melofee,Normal,Aucun,Montagne,Rose,1,60cm,7.5kg
Melodelfe,Normal,Aucun,Montagne,Rose,2,1m30,40kg
Goupix,Feu,Aucun,Champs,"Marron,Orange",1,60cm,9.9kg
Feunard,Feu,Aucun,Champs,Jaune,2,1m10,19.9kg
Rondoudou,Normal,Aucun,Champs,Rose,1,50cm,5.5kg
Grodoudou,Normal,Aucun,Champs,Rose,2,1m,12kg
Nosferapti,Poison,Vol,Grotte,"Bleu,Violet",1,80cm,7.5kg
Nosferalto,Poison,Vol,Grotte,"Bleu,Violet",2,1m60,55kg
Mystherbe,Plante,Poison,Champs,"Bleu,Vert",1,50cm,5.4kg
Ortide,Plante,Poison,Champs,"Bleu,Orange",2,80cm,8.6kg
Rafflesia,Plante,Poison,Champs,"Bleu,Rouge",3,1m20,18.6kg
Paras,Insecte,Plante,Forêt,Orange,1,30cm,5.4kg
Parasect,Insecte,Plante,Forêt,"Orange,Rouge",2,1m,29.5kg
Mimitoss,Insecte,Poison,Forêt,Violet,1,1m,30kg
Aeromite,Insecte,Poison,Forêt,Violet,2,1m50,12.5kg
Taupiqueur,Sol,Aucun,Grotte,Marron,1,20cm,800g
Triopikeur,Sol,Aucun,Grotte,Marron,2,70cm,33.3kg
Miaouss,Normal,Aucun,Urbain,Jaune,1,40cm,4.2kg
Persian,Normal,Aucun,Urbain,Jaune,2,1m,32kg
Psykokwak,Eau,Aucun,Marécages,Jaune,1,80cm,19.6kg
Akwakwak,Eau,Aucun,Marécages,Bleu,2,1m70,76.6kg
Ferosinge,Combat,Aucun,Montagne,"Marron,Blanc",1,50cm,28kg
Colossinge,Combat,Aucun,Montagne,"Marron,Blanc",2,1m,32kg
Caninos,Feu,Aucun,Champs,"Orange,Jaune",1,70cm,19kg
Arcanin,Feu,Aucun,Champs,"Orange,Jaune",2,1m90,155kg
Ptitard,Eau,Aucun,Marécages,"Bleu,Blanc",1,60cm,12.4kg
Tetarte,Eau,Aucun,Marécages,"Bleu,Blanc",2,1m,20kg
Tartard,Eau,Combat,Marécages,"Bleu,Blanc",3,1m30,54kg
Abra,Psy,Aucun,Urbain,Jaune,1,90cm,19.5kg
Kadabra,Psy,Aucun,Urbain,Jaune,2,1m30,56.5kg
Machoc,Combat,Aucun,Montagne,Gris,1,80cm,19.5kg
Machopeur,Combat,Aucun,Montagne,Violet,2,1m50,70.5kg
Mackogneur,Combat,Aucun,Montagne,Gris,3,1m60,130kg
Chetiflor,Plante,Poison,Forêt,"Vert,Jaune",1,70cm,4kg
Boustiflor,Plante,Poison,Forêt,"Vert,Jaune",2,1m,6.4kg
