Pokemon,Type 1,Type 2,Stade d'évolution,Entièrement évolué,Couleur,Habitat,Gen
Bulbizarre,Plante,Poison,1,Non,Vert,"forest,jungle",1
Herbizarre,Plante,Poison,2,Non,"Vert, Rose","forest,jungle",1
Florizarre,Plante,Poison,3,Oui,"Vert, Rose","forest,jungle",1
Salamèche,Feu,None,1,Non,Orange,"mountain,volcano",1
Reptincel,Feu,None,2,Non,Rouge,"mountain,volcano",1
Dracaufeu,Feu,Vol,3,Oui,Orange,"mountain,volcano",1
Carapuce,Eau,None,1,Non,"Bleu, Marron",freshwater,1
Carabaffe,Eau,None,2,Non,"Bleu, Marron",freshwater,1
Tortank,Eau,None,3,Oui,"Bleu, Marron",freshwater,1
Chenipan,Insecte,None,1,Non,"Vert, Jaune","forest,jungle",1
Chrysacier,Insecte,None,2,Non,Vert,"forest,jungle",1
Papilusion,Insecte,Vol,3,Oui,"Blanc, Violet","forest,jungle",1
Aspicot,Insecte,Poison,1,Non,Marron,forest,1
Coconfort,Insecte,Poison,2,Non,Jaune,forest,1
Dardargnan,Insecte,Poison,3,Oui,Jaune,forest,1
Roucool,Normal,Vol,1,Non,Marron,"city,forest,grassland",1
Roucoups,Normal,Vol,2,Non,Marron,"grassland,forest",1
Roucarnage,Normal,Vol,3,Oui,Marron,"grassland,forest",1
Rattata,Normal,None,1,Non,Violet,"city,grassland",1
Rattatac,Normal,None,2,Oui,Marron,"city,grassland",1
Piafabec,Normal,Vol,1,Non,"Marron, Rouge",desertbadlands,1
Rapasdepic,Normal,Vol,2,Oui,Marron,desertbadlands,1
Abo,Poison,None,1,Non,"Violet, Jaune","grassland,jungle",1
Arbok,Poison,None,2,Oui,Violet,"grassland,jungle",1
Pikachu,Électrik,None,2,Non,Jaune,"forest,industrial",1
Raichu,Électrik,None,3,Oui,"Orange, Jaune","forest,industrial",1
Sabelette,Sol,None,1,Non,Jaune,"cave,desertbadlands,grassland",1
Sablaireau,Sol,None,2,Oui,"Jaune, Marron","cave,desertbadlands",1
Nidoran♀,Poison,None,1,Non,Bleu,grassland,1
Nidorina,Poison,None,2,Non,Bleu,grassland,1
Nidoqueen,Poison,Sol,3,Oui,Bleu,grassland,1
Nidoran♂,Poison,None,1,Non,Violet,grassland,1
Nidorino,Poison,None,2,Non,Violet,grassland,1
Nidoking,Poison,Sol,3,Oui,Violet,grassland,1
Mélofée,Normal,None,2,Non,Rose,mountain,1
Mélodelfe,Normal,None,3,Oui,Rose,mountain,1
Goupix,Feu,None,1,Non,Orange,"grassland,ruin,volcano",1
Feunard,Feu,None,2,Oui,Jaune,"grassland,ruin,volcano",1
Rondoudou,Normal,None,2,Non,Rose,"grassland,forest",1
Grodoudou,Normal,None,3,Oui,Rose,"grassland,forest",1
Nosferapti,Poison,Vol,1,Non,"Bleu, Violet",cave,1
Nosferalto,Poison,Vol,2,Non,"Bleu, Violet",cave,1
Mystherbe,Plante,Poison,1,Non,"Bleu, Vert","grassland,jungle,swamp",1
Ortide,Plante,Poison,2,Non,"Bleu, Orange","grassland,jungle,swamp",1
Rafflesia,Plante,Poison,3,Oui,"Rouge, Bleu","grassland,jungle,swamp",1
Paras,Insecte,Plante,1,Non,"Orange, Rouge","cave,forest",1
Parasect,Insecte,Plante,2,Oui,"Rouge, Orange","cave,forest",1
Mimitoss,Insecte,Poison,1,Non,Violet,"forest,jungle",1
Aéromite,Insecte,Poison,2,Oui,Violet,"forest,jungle",1
Taupiqueur,Sol,None,1,Non,Marron,"cave,desertbadlands",1
Triopikeur,Sol,None,2,Oui,Marron,"cave,desertbadlands",1
Miaouss,Normal,None,1,Non,Jaune,"city,forest",1
Persian,Normal,None,2,Oui,Jaune,"city,forest",1
Psykokwak,Eau,None,1,Non,Jaune,freshwater,1
Akwakwak,Eau,None,2,Oui,Bleu,freshwater,1
Férosinge,Combat,None,1,Non,Marron,"forest,jungle,mountain",1
Colossinge,Combat,None,2,Non,Marron,"forest,jungle,mountain",1
Caninos,Feu,None,1,Non,"Orange, Jaune","grassland,volcano",1
Arcanin,Feu,None,2,Oui,"Orange, Marron","grassland,volcano",1
Ptitard,Eau,None,1,Non,"Bleu, Blanc","freshwater,swamp",1
Têtarte,Eau,None,2,Non,"Bleu, Blanc","freshwater,swamp",1
Tartard,Eau,Combat,3,Oui,"Bleu, Blanc","freshwater,swamp",1
Abra,Psy,None,1,Non,"Jaune, Marron","city,ruin",1
Kadabra,Psy,None,2,Non,"Jaune, Marron","city,ruin",1
Alakazam,Psy,None,3,Oui,"Jaune, Marron","city,ruin",1
Machoc,Combat,None,1,Non,Gris,"cave,mountain",1
Machopeur,Combat,None,2,Non,Gris,"cave,mountain",1
Mackogneur,Combat,None,3,Oui,Gris,"cave,mountain",1
Chétiflor,Plante,Poison,1,Non,"Vert, Jaune","jungle,swamp",1
Boustiflor,Plante,Poison,2,Non,"Vert, Jaune","jungle,swamp",1
Empiflor,Plante,Poison,3,Oui,"Vert, Jaune","jungle,swamp",1
Tentacool,Eau,Poison,1,Non,"Bleu, Rouge",ocean,1
Tentacruel,Eau,Poison,2,Oui,"Bleu, Rouge",ocean,1
Racaillou,Roche,Sol,1,Non,Gris,"cave,mountain,volcano",1
Gravalanch,Roche,Sol,2,Non,Gris,"cave,mountain,volcano",1
Grolem,Roche,Sol,3,Oui,"Gris, Marron","cave,mountain,volcano",1
Ponyta,Feu,None,1,Non,"Jaune, Orange",grassland,1
Galopa,Feu,None,2,Oui,"Jaune, Orange",grassland,1
Ramoloss,Eau,Psy,1,Non,Rose,"beach,freshwater",1
Flagadoss,Eau,Psy,2,Oui,"Rose, Gris","beach,freshwater",1
Magnéti,Électrik,Acier,1,Non,Gris,industrial,1
Magnéton,Électrik,Acier,2,Non,Gris,industrial,1
Canarticho,Normal,Vol,1,Non,Marron,"forest,grassland,freshwater",1
Doduo,Normal,Vol,1,Non,Marron,grassland,1
Dodrio,Normal,Vol,2,Oui,Marron,grassland,1
Otaria,Eau,None,1,Non,Blanc,polarsea,1
Lamantine,Eau,Glace,2,Oui,Blanc,polarsea,1
Tadmorv,Poison,None,1,Non,Violet,city,1
Grotadmorv,Poison,None,2,Oui,Violet,city,1
Kokiyas,Eau,None,1,Non,Violet,ocean,1
Crustabri,Eau,Glace,2,Oui,Violet,ocean,1
Fantominus,Spectre,Poison,1,Non,Violet,"city,forest,ruin",1
Spectrum,Spectre,Poison,2,Non,Violet,"city,forest,ruin",1
Ectoplasma,Spectre,Poison,3,Oui,Violet,"city,forest,ruin",1
Onix,Roche,Sol,1,Non,Gris,"cave,mountain",1
Soporifik,Psy,None,1,Non,"Jaune, Marron","forest,grassland,jungle",1
Hypnomade,Psy,None,2,Oui,Jaune,"forest,grassland,jungle",1
Krabby,Eau,None,1,Non,"Orange, Marron",beach,1
Krabboss,Eau,None,2,Oui,"Orange, Marron",beach,1
Voltorbe,Électrik,None,1,Non,"Rouge, Blanc",industrial,1
Électrode,Électrik,None,2,Oui,"Blanc, Rouge",industrial,1
Noeunoeuf,Plante,Psy,1,Non,Rose,"forest,jungle",1
Noadkoko,Plante,Psy,2,Oui,"Marron, Vert","beach,forest,jungle",1
Osselait,Sol,None,1,Non,Marron,"desertbadlands,cave,mountain",1
Ossatueur,Sol,None,2,Oui,Marron,"desertbadlands,cave,mountain",1
Kicklee,Combat,None,2,Oui,Marron,"city,mountain",1
Tygnon,Combat,None,2,Oui,Marron,"city,mountain",1
Excelangue,Normal,None,1,Non,Rose,forest,1
Smogo,Poison,None,1,Non,Violet,"city,volcano",1
Smogogo,Poison,None,2,Oui,Violet,"city,volcano",1
Rhinocorne,Sol,Roche,1,Non,Gris,"desertbadlands,grassland,mountain",1
Rhinoféros,Sol,Roche,2,Non,Gris,"desertbadlands,grassland,mountain",1
Leveinard,Normal,None,2,Non,Rose,"city,grassland,forest",1
Saquedeneu,Plante,None,1,Non,Bleu,"grassland,jungle,swamp",1
Kangourex,Normal,None,1,Oui,Marron,"desertbadlands,jungle",1
Hypotrempe,Eau,None,1,Non,Bleu,"ocean,tropicalSea",1
Hypocéan,Eau,None,2,Non,Bleu,"ocean,tropicalSea",1
Poissirène,Eau,None,1,Non,"Blanc, Orange","freshwater,ocean",1
Poissoroy,Eau,None,2,Oui,"Rouge, Blanc","freshwater,ocean",1
Stari,Eau,None,1,Non,"Marron, Jaune","ocean,tropicalSea",1
Staross,Eau,Psy,2,Oui,"Violet, Rouge","ocean,tropicalSea",1
M. Mime,Psy,None,2,Oui,"Rose, Blanc",city,1
Insécateur,Insecte,Vol,1,Non,Vert,"forest,jungle",1
Lippoutou,Glace,Psy,2,Oui,"Violet, Rouge",ice,1
Élektek,Électrik,None,2,Non,"Jaune, Noir","grassland,industrial",1
Magmar,Feu,None,2,Non,"Rouge, Jaune",volcano,1
Scarabrute,Insecte,None,1,Oui,Marron,"desertbadlands,forest",1
Tauros,Normal,None,1,Oui,Marron,grassland,1
Magicarpe,Eau,None,1,Non,Orange,"freshwater,ocean",1
Léviator,Eau,Vol,2,Oui,Bleu,"freshwater,ocean",1
Lokhlass,Eau,Glace,1,Oui,Bleu,ocean,1
Métamorph,Normal,None,1,Oui,Violet,"city,forest",1
Évoli,Normal,None,1,Non,Marron,"city,forest",1
Aquali,Eau,None,2,Oui,Bleu,freshwater,1
Voltali,Électrik,None,2,Oui,Jaune,industrial,1
Pyroli,Feu,None,2,Oui,"Orange, Jaune",grassland,1
Porygon,Normal,None,1,Non,"Rose, Bleu",city,1
Amonita,Roche,Eau,1,Non,"Bleu, Marron","ocean,tropicalSea",1
Amonistar,Roche,Eau,2,Oui,"Bleu, Marron","ocean,tropicalSea",1
Kabuto,Roche,Eau,1,Non,"Marron, Noir","beach,ocean",1
Kabutops,Roche,Eau,2,Oui,Marron,"beach,ocean",1
Ptéra,Roche,Vol,1,Oui,"Gris, Violet","forest,mountain",1
Ronflex,Normal,None,2,Oui,"Bleu, Blanc","forest,mountain",1
Artikodin,Glace,Vol,1,Oui,Bleu,"ice,mountain",1
Électhor,Électrik,Vol,1,Oui,Jaune,"industrial,mountain",1
Sulfura,Feu,Vol,1,Oui,"Orange, Rouge","mountain,volcano",1
Minidraco,Dragon,None,1,Non,"Bleu, Blanc",freshwater,1
Draco,Dragon,None,2,Non,"Bleu, Blanc",freshwater,1
Dracolosse,Dragon,Vol,3,Oui,Orange,"freshwater,ocean",1
